iter	Passed	Remaining
0	140	140304
1	144	72271
2	149	49589
3	155	38804
4	160	32035
5	166	27563
6	169	23991
7	171	21327
8	174	19181
9	177	17561
10	181	16296
11	183	15071
12	184	14003
13	185	13079
14	186	12273
15	188	11565
16	189	10950
17	190	10400
18	191	9894
19	192	9445
20	194	9052
21	195	8688
22	197	8395
23	198	8077
24	199	7783
25	200	7508
26	201	7259
27	202	7028
28	203	6807
29	204	6600
30	205	6410
31	206	6235
32	207	6066
33	207	5905
34	208	5761
35	210	5626
36	211	5494
37	211	5362
38	212	5238
39	213	5121
40	214	5010
41	214	4903
42	215	4801
43	216	4704
44	217	4611
45	218	4524
46	219	4441
47	219	4360
48	220	4283
49	221	4210
50	223	4154
51	224	4099
52	225	4034
53	226	3971
54	227	3910
55	228	3849
56	229	3793
57	230	3739
58	231	3688
59	232	3639
60	233	3590
61	234	3542
62	235	3497
63	236	3456
64	237	3419
65	238	3380
66	239	3341
67	240	3300
68	241	3263
69	242	3225
70	243	3191
71	244	3156
72	245	3122
73	246	3090
74	247	3058
75	249	3027
76	249	2996
77	250	2966
78	252	2943
79	253	2915
80	255	2893
81	255	2865
82	256	2832
83	257	2807
84	258	2783
85	259	2758
86	260	2734
87	261	2712
88	262	2689
89	263	2667
90	264	2645
91	265	2624
92	267	2612
93	269	2593
94	270	2573
95	271	2552
96	272	2533
97	273	2514
98	274	2495
99	275	2477
100	276	2461
101	277	2442
102	278	2425
103	279	2408
104	280	2392
105	282	2379
106	283	2364
107	285	2354
108	286	2339
109	287	2324
110	288	2309
111	289	2294
112	290	2279
113	291	2265
114	292	2251
115	293	2237
116	294	2222
117	295	2209
118	296	2198
119	298	2187
120	299	2174
121	300	2160
122	301	2148
123	302	2137
124	303	2125
125	304	2113
126	305	2100
127	306	2089
128	307	2078
129	308	2066
130	309	2055
131	311	2045
132	313	2041
133	314	2034
134	315	2024
135	317	2014
136	318	2004
137	319	1993
138	320	1983
139	321	1974
140	322	1965
141	323	1954
142	324	1944
143	325	1935
144	327	1930
145	328	1922
146	329	1914
147	330	1905
148	332	1896
149	333	1887
150	334	1879
151	335	1871
152	336	1863
153	337	1855
154	338	1847
155	339	1839
156	341	1831
157	342	1825
158	343	1818
159	345	1812
160	345	1803
161	347	1795
162	348	1788
163	349	1780
164	350	1773
165	351	1765
166	352	1757
167	353	1750
168	354	1743
169	355	1736
170	357	1734
171	358	1728
172	360	1721
173	361	1714
174	362	1706
175	363	1699
176	364	1692
177	365	1686
178	366	1680
179	367	1673
180	368	1667
181	369	1660
182	370	1654
183	372	1649
184	373	1643
185	374	1640
186	375	1634
187	376	1628
188	378	1622
189	379	1616
190	380	1610
191	381	1604
192	382	1598
193	383	1593
194	384	1587
195	385	1582
196	387	1579
197	388	1574
198	389	1569
199	390	1563
200	392	1558
201	393	1554
202	394	1549
203	395	1544
204	396	1538
205	397	1533
206	399	1528
207	400	1524
208	403	1526
209	405	1524
210	406	1520
211	407	1514
212	408	1509
213	409	1504
214	411	1500
215	412	1496
216	413	1491
217	414	1486
218	415	1481
219	416	1478
220	418	1474
221	419	1470
222	420	1465
223	421	1461
224	422	1456
225	423	1451
226	425	1447
227	426	1443
228	427	1438
229	428	1434
230	429	1430
231	430	1426
232	449	1479
233	454	1486
234	456	1486
235	459	1486
236	461	1486
237	464	1488
238	468	1490
239	470	1488
240	471	1484
241	472	1481
242	474	1477
243	475	1472
244	476	1469
245	478	1465
246	479	1462
247	480	1458
248	481	1453
249	482	1448
250	484	1445
251	487	1446
252	488	1441
253	489	1436
254	490	1431
255	491	1427
256	491	1422
257	492	1417
258	494	1415
259	495	1410
260	497	1409
261	498	1404
262	499	1399
263	500	1394
264	500	1389
265	501	1384
266	502	1379
267	503	1375
268	504	1370
269	505	1365
270	505	1361
271	506	1356
272	507	1351
273	509	1349
274	510	1345
275	511	1342
276	512	1338
277	513	1334
278	515	1331
279	516	1327
280	517	1324
281	518	1320
282	519	1316
283	521	1313
284	522	1310
285	523	1307
286	525	1305
287	527	1305
288	529	1301
289	530	1298
290	531	1295
291	532	1291
292	534	1288
293	535	1284
294	536	1281
295	537	1278
296	539	1276
297	540	1274
298	542	1271
299	543	1267
300	544	1264
301	545	1261
302	546	1258
303	548	1254
304	549	1251
305	550	1248
306	552	1247
307	559	1257
308	561	1254
309	562	1252
310	564	1250
311	566	1248
312	568	1246
313	576	1258
314	577	1256
315	580	1256
316	582	1254
317	585	1255
318	587	1254
319	591	1255
320	592	1253
321	594	1251
322	595	1249
323	597	1246
324	599	1244
325	602	1246
326	604	1244
327	606	1242
328	609	1244
329	611	1241
330	613	1240
331	615	1237
332	617	1236
333	618	1234
334	620	1232
335	622	1229
336	623	1226
337	624	1223
338	625	1220
339	627	1217
340	629	1216
341	633	1219
342	636	1218
343	637	1215
344	638	1212
345	640	1210
346	641	1207
347	642	1204
348	644	1201
349	645	1199
350	657	1215
351	658	1213
352	660	1209
353	661	1207
354	663	1205
355	664	1202
356	666	1199
357	667	1196
358	668	1193
359	669	1190
360	671	1187
361	672	1184
362	673	1181
363	674	1178
364	675	1175
365	678	1174
366	679	1171
367	681	1169
368	682	1166
369	683	1163
370	684	1160
371	685	1157
372	687	1154
373	688	1151
374	689	1148
375	690	1145
376	692	1144
377	693	1141
378	695	1139
379	696	1136
380	697	1133
381	698	1130
382	699	1127
383	700	1124
384	701	1121
385	702	1118
386	704	1115
387	705	1112
388	706	1110
389	708	1107
390	709	1104
391	710	1102
392	712	1100
393	713	1097
394	714	1094
395	715	1091
396	716	1088
397	717	1085
398	718	1082
399	719	1079
400	722	1078
401	723	1075
402	724	1073
403	725	1070
404	726	1067
405	727	1064
406	728	1062
407	730	1059
408	731	1056
409	732	1054
410	733	1051
411	734	1048
412	737	1047
413	738	1044
414	740	1043
415	741	1040
416	742	1037
417	743	1035
418	744	1032
419	745	1029
420	746	1027
421	748	1024
422	749	1022
423	751	1020
424	752	1018
425	754	1016
426	755	1013
427	756	1011
428	757	1008
429	759	1006
430	760	1003
431	761	1001
432	762	998
433	763	995
434	764	993
435	766	991
436	768	989
437	769	987
438	770	985
439	772	982
440	773	979
441	774	977
442	775	974
443	776	972
444	777	969
445	778	967
446	779	964
447	781	962
448	782	960
449	783	957
450	784	955
451	786	952
452	787	950
453	788	947
454	789	945
455	790	942
456	791	940
457	792	937
458	793	935
459	794	933
460	796	931
461	797	928
462	799	926
463	800	924
464	801	921
465	802	919
466	803	917
467	804	914
468	805	912
469	806	909
470	807	907
471	808	904
472	810	902
473	812	901
474	813	899
475	814	896
476	815	894
477	816	891
478	817	889
479	818	887
480	820	885
481	822	884
482	825	883
483	827	882
484	830	881
485	831	879
486	832	877
487	833	874
488	834	872
489	835	869
490	837	867
491	838	865
492	839	863
493	840	860
494	842	859
495	843	857
496	844	854
497	845	852
498	847	850
499	848	848
500	849	846
501	850	843
502	851	841
503	852	839
504	854	837
505	855	835
506	857	833
507	858	831
508	860	830
509	861	827
510	862	825
511	863	823
512	864	820
513	865	818
514	866	816
515	867	814
516	868	811
517	870	809
518	871	807
519	872	805
520	874	803
521	875	801
522	876	799
523	878	798
524	880	796
525	881	793
526	882	791
527	883	789
528	884	787
529	885	785
530	886	783
531	888	781
532	890	779
533	891	777
534	892	775
535	893	773
536	894	771
537	895	769
538	896	766
539	897	764
540	898	762
541	899	760
542	901	759
543	903	757
544	904	754
545	905	752
546	906	750
547	907	748
548	908	746
549	909	744
550	910	742
551	912	740
552	913	738
553	914	736
554	916	734
555	917	732
556	920	731
557	921	729
558	922	727
559	923	725
560	925	724
561	926	722
562	927	720
563	929	718
564	930	716
565	932	715
566	933	713
567	935	711
568	936	709
569	938	707
570	939	706
571	941	704
572	942	702
573	943	700
574	947	699
575	948	698
576	950	697
577	952	695
578	953	693
579	954	691
580	956	689
581	957	687
582	958	685
583	960	683
584	961	682
585	962	680
586	964	678
587	965	676
588	966	674
589	969	673
590	970	671
591	971	669
592	972	667
593	973	665
594	974	663
595	976	662
596	977	660
597	979	658
598	980	656
599	981	654
600	982	652
601	983	650
602	985	648
603	986	646
604	987	644
605	988	642
606	989	640
607	990	638
608	992	637
609	993	635
610	994	633
611	995	631
612	996	629
613	997	627
614	999	625
615	1000	623
616	1001	621
617	1002	619
618	1003	617
619	1004	615
620	1006	614
621	1007	612
622	1010	611
623	1011	609
624	1012	607
625	1013	605
626	1014	603
